year,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-3.4,SSP3-7.0,SSP4-3.4,SSP4-6.0,SSP5-8.5,,,,total 1-1.9,total 1-2.6,total 2-4.5,total 3-3.4,total 3-7.0,total 4-3.4,total 4-6.0,total 5-8.5
1795,0.295,0.295,0.295,0.295,0.295,0.295,0.295,0.295,,,,0.294536588,0.294536588,0.294536588,0.294536588,0.294536588,0.294536588,0.294536588,0.294536588
1796,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,,,,0.122499877,0.122499877,0.122499877,0.122499877,0.122499877,0.122499877,0.122499877,0.122499877
1797,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,,,,-0.015195353,-0.015195353,-0.015195353,-0.015195353,-0.015195353,-0.015195353,-0.015195353,-0.015195353
1798,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,,,,0.082434559,0.082434559,0.082434559,0.082434559,0.082434559,0.082434559,0.082434559,0.082434559
1799,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,,,,0.179981068,0.179981068,0.179981068,0.179981068,0.179981068,0.179981068,0.179981068,0.179981068
1800,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,,,,0.229025868,0.229025868,0.229025868,0.229025868,0.229025868,0.229025868,0.229025868,0.229025868
1801,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,,,,0.276506938,0.276506938,0.276506938,0.276506938,0.276506938,0.276506938,0.276506938,0.276506938
1802,0.309,0.309,0.309,0.309,0.309,0.309,0.309,0.309,,,,0.308997725,0.308997725,0.308997725,0.308997725,0.308997725,0.308997725,0.308997725,0.308997725
1803,0.334,0.334,0.334,0.334,0.334,0.334,0.334,0.334,,,,0.334230811,0.334230811,0.334230811,0.334230811,0.334230811,0.334230811,0.334230811,0.334230811
1804,0.343,0.343,0.343,0.343,0.343,0.343,0.343,0.343,,,,0.343196404,0.343196404,0.343196404,0.343196404,0.343196404,0.343196404,0.343196404,0.343196404
1805,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,,,,0.32774522,0.32774522,0.32774522,0.32774522,0.32774522,0.32774522,0.32774522,0.32774522
1806,0.319,0.319,0.319,0.319,0.319,0.319,0.319,0.319,,,,0.318735026,0.318735026,0.318735026,0.318735026,0.318735026,0.318735026,0.318735026,0.318735026
1807,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,,,,0.297465324,0.297465324,0.297465324,0.297465324,0.297465324,0.297465324,0.297465324,0.297465324
1808,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,,,,0.266834858,0.266834858,0.266834858,0.266834858,0.266834858,0.266834858,0.266834858,0.266834858
1809,-3.692,-3.692,-3.692,-3.692,-3.692,-3.692,-3.692,-3.692,,,,-3.691973712,-3.691973712,-3.691973712,-3.691973712,-3.691973712,-3.691973712,-3.691973712,-3.691973712
1810,-2.536,-2.536,-2.536,-2.536,-2.536,-2.536,-2.536,-2.536,,,,-2.536109144,-2.536109144,-2.536109144,-2.536109144,-2.536109144,-2.536109144,-2.536109144,-2.536109144
1811,-0.753,-0.753,-0.753,-0.753,-0.753,-0.753,-0.753,-0.753,,,,-0.752938833,-0.752938833,-0.752938833,-0.752938833,-0.752938833,-0.752938833,-0.752938833,-0.752938833
