year;SSP1-1.9;SSP1-2.6;SSP2-4.5;SSP3-3.4;SSP3-7.0;SSP4-3.4;SSP4-6.0;SSP5-8.5
2102;2.311;3.094;5.425;;8.346;4.021;6.361;10.173
2103;2.291;3.078;5.425;;8.415;4.001;6.373;10.242
2104;2.261;3.053;5.415;;8.471;3.971;6.374;10.3
2105;2.222;3.018;5.396;;8.516;3.931;6.366;10.346
2106;2.192;2.992;5.386;;8.569;3.9;6.367;10.4
2107;2.165;2.969;5.377;;8.622;3.872;6.37;10.456
2108;2.148;2.955;5.378;;8.683;3.854;6.382;10.518
2109;2.138;2.949;5.387;;8.749;3.843;6.401;10.588
2110;2.142;2.958;5.409;;8.829;3.846;6.434;10.67
2111;2.169;2.989;5.454;;8.929;3.872;6.49;10.773
2112;2.155;2.979;5.458;;8.987;3.856;6.504;10.834
2113;2.142;2.969;5.462;;9.045;3.842;6.519;10.895
2114;2.102;2.933;5.439;;9.074;3.8;6.507;10.927
2115;2.08;2.914;5.434;;9.12;3.776;6.512;10.976
2116;2.044;2.882;5.415;;9.15;3.738;6.503;11.01
2117;2.019;2.861;5.406;;9.19;3.711;6.504;11.053
2118;1.997;2.843;5.401;;9.233;3.687;6.509;11.099
2119;1.983;2.833;5.404;;9.282;3.671;6.521;11.151
2120;1.989;2.843;5.426;;9.35;3.675;6.553;11.222
2121;2.006;2.864;5.458;;9.427;3.689;6.595;11.303
2122;2.025;2.886;5.493;;9.506;3.706;6.64;11.384
2123;1.992;2.858;5.476;;9.533;3.671;6.632;11.414
2124;1.983;2.853;5.482;;9.581;3.659;6.648;11.465
2125;1.943;2.816;5.457;;9.598;3.616;6.632;11.485
2126;1.906;2.784;5.436;;9.618;3.577;6.62;11.507
2127;1.882;2.763;5.426;;9.649;3.55;6.62;11.54
2128;1.859;2.744;5.418;;9.68;3.524;6.621;11.575
2129;1.849;2.738;5.423;;9.724;3.511;6.635;11.62
2130;1.857;2.749;5.445;;9.784;3.515;6.665;11.682
2131;1.896;2.792;5.498;;9.875;3.551;6.727;11.775
2132;1.891;2.791;5.508;;9.921;3.543;6.746;11.824
2133;1.888;2.792;5.519;;9.969;3.537;6.766;11.873
2134;1.859;2.767;5.504;;9.989;3.504;6.759;11.895
2135;1.822;2.733;5.48;;10.001;3.463;6.744;11.907
2136;1.779;2.695;5.452;;10.006;3.417;6.724;11.914
