year,SSP1-2.6,SSP5-8.5,,,,,total,total
2007,1.942,1.942,,,,,1.94246873379536,1.94246873379536
2008,2.052,2.052,,,,,2.05169276112923,2.05169276112923
2009,2.128,2.128,,,,,2.12821174804192,2.12821174804192
2010,2.237,2.237,,,,,2.23690363312659,2.23690363312659
2011,2.29,2.29,,,,,2.2897895942441,2.2897895942441
2012,2.357,2.357,,,,,2.35742109029523,2.35742109029523
2013,2.526,2.526,,,,,2.52599096296346,2.52599096296346
2014,2.558,2.558,,,,,2.55824234562296,2.55824234562296
2015,2.621,2.621,,,,,2.62144443297465,2.62144199290047
2016,2.631,2.634,,,,,2.63066058999669,2.63392157917405
2017,2.66,2.675,,,,,2.65955440319306,2.67513407216525
2018,2.691,2.733,,,,,2.69114050564811,2.73329082390591
2019,2.737,2.824,,,,,2.73699065846049,2.82386388981014
2020,2.799,2.935,,,,,2.79881520126283,2.93543447787165
2021,2.876,3.021,,,,,2.87590452269292,3.02132207529655
2022,2.955,3.112,,,,,2.95452542924814,3.11184719435016
2023,3.014,3.187,,,,,3.01439791321259,3.1871081767601
2024,3.058,3.251,,,,,3.0580881880952,3.25076275554813
2025,3.083,3.299,,,,,3.08314030861431,3.29935481647355
2026,3.104,3.346,,,,,3.10414599715527,3.34636008842077
2027,3.123,3.394,,,,,3.12338266358663,3.39437136179512
2028,3.156,3.459,,,,,3.15622316587791,3.45938305269449
2029,3.181,3.519,,,,,3.18079865528277,3.51870569794856
2030,3.212,3.588,,,,,3.21248389666078,3.58757572516765
2031,3.237,3.649,,,,,3.2369484360842,3.64856100065195
2032,3.271,3.722,,,,,3.27058656846395,3.72190411070863
2033,3.322,3.817,,,,,3.32204488052955,3.81657246813972
2034,3.388,3.929,,,,,3.38839707670898,3.92923533269289
2035,3.419,4.01,,,,,3.4191664129078,4.0099729547655
2036,3.461,4.105,,,,,3.46093670353039,4.10484962093469
2037,3.467,4.167,,,,,3.46705647879551,4.16706280466508
2038,3.489,4.247,,,,,3.48852290134196,4.2474830121722
2039,3.485,4.305,,,,,3.48505164287104,4.30548001750188
2040,3.482,4.366,,,,,3.48189158037269,4.36631479196606
2041,3.472,4.433,,,,,3.47224095843526,4.43265621633428
2042,3.476,4.515,,,,,3.47630583667338,4.51487439089944
2043,3.488,4.607,,,,,3.48787628445162,4.60654789053601
2044,3.509,4.709,,,,,3.50853037811582,4.70878817219327
2045,3.552,4.836,,,,,3.55212771814201,4.83589627234532
2046,3.584,4.953,,,,,3.58355312638045,4.95251718298676
2047,3.617,5.073,,,,,3.61711221769139,5.07285514537319
2048,3.625,5.169,,,,,3.62532478554819,5.16944297386947
2049,3.608,5.242,,,,,3.60816412634775,5.24238833765551
2050,3.578,5.304,,,,,3.57834941698385,5.30425681723876
2051,3.564,5.377,,,,,3.56442982468896,5.37704387048142
2052,3.551,5.452,,,,,3.55142002728002,5.45204186237728
2053,3.542,5.532,,,,,3.54244780893474,5.53182779369003
2054,3.549,5.628,,,,,3.54863098076554,5.62760345918063
2055,3.571,5.74,,,,,3.5709591366484,5.740260241207
2056,3.598,5.858,,,,,3.59783570735527,5.85831255300399
2057,3.599,5.952,,,,,3.59908998671896,5.95170442689087
2058,3.603,6.049,,,,,3.60324055312958,6.04895845218934
2059,3.606,6.146,,,,,3.60602134683461,6.14581287453325
