year,RCP2.6,RCP4.5,RCP6.0,RCP8.5
1825.0,-0.0229999999999999,-0.0229999999999999,-0.0229999999999999,-0.0229999999999999
1826.0,-0.0219999999999999,-0.0219999999999999,-0.0219999999999999,-0.0219999999999999
1827.0,-0.02,-0.02,-0.02,-0.02
1828.0,-0.019,-0.019,-0.019,-0.019
1829.0,-0.0189999999999999,-0.0189999999999999,-0.0189999999999999,-0.0189999999999999
1830.0,-0.0189999999999999,-0.0189999999999999,-0.0189999999999999,-0.0189999999999999
1831.0,-0.0199999999999999,-0.0199999999999999,-0.0199999999999999,-0.0199999999999999
1832.0,-0.0219999999999999,-0.0219999999999999,-0.0219999999999999,-0.0219999999999999
1833.0,-0.0259999999999999,-0.0259999999999999,-0.0259999999999999,-0.0259999999999999
1834.0,-0.031,-0.031,-0.031,-0.031
1835.0,-0.036,-0.036,-0.036,-0.036
1836.0,-0.039,-0.039,-0.039,-0.039
1837.0,-0.0429999999999999,-0.0429999999999999,-0.0429999999999999,-0.0429999999999999
1838.0,-0.0449999999999999,-0.0449999999999999,-0.0449999999999999,-0.0449999999999999
1839.0,-0.045,-0.045,-0.045,-0.045
1840.0,-0.043,-0.043,-0.043,-0.043
1841.0,-0.039,-0.039,-0.039,-0.039
1842.0,-0.0339999999999999,-0.0339999999999999,-0.0339999999999999,-0.0339999999999999
1843.0,-0.0269999999999999,-0.0269999999999999,-0.0269999999999999,-0.0269999999999999
1844.0,-0.022,-0.022,-0.022,-0.022
1845.0,-0.015,-0.015,-0.015,-0.015
1846.0,-0.01,-0.01,-0.01,-0.01
1847.0,-0.0079999999999999,-0.0079999999999999,-0.0079999999999999,-0.0079999999999999
1848.0,-0.0059999999999999,-0.0059999999999999,-0.0059999999999999,-0.0059999999999999
1849.0,-0.0049999999999999,-0.0049999999999999,-0.0049999999999999,-0.0049999999999999
1850.0,-0.0049999999999999,-0.0049999999999999,-0.0049999999999999,-0.0049999999999999
1851.0,-0.0059999999999999,-0.0059999999999999,-0.0059999999999999,-0.0059999999999999
1852.0,-0.0089999999999999,-0.0089999999999999,-0.0089999999999999,-0.0089999999999999
1853.0,-0.0119999999999999,-0.0119999999999999,-0.0119999999999999,-0.0119999999999999
1854.0,-0.0139999999999999,-0.0139999999999999,-0.0139999999999999,-0.0139999999999999
1855.0,-0.018,-0.018,-0.018,-0.018
1856.0,-0.021,-0.021,-0.021,-0.021
1857.0,-0.023,-0.023,-0.023,-0.023
1858.0,-0.025,-0.025,-0.025,-0.025
1859.0,-0.026,-0.026,-0.026,-0.026
1860.0,-0.027,-0.027,-0.027,-0.027
1861.0,-0.029,-0.029,-0.029,-0.029
1862.0,-0.029,-0.029,-0.029,-0.029
1863.0,-0.029,-0.029,-0.029,-0.029
1864.0,-0.029,-0.029,-0.029,-0.029
1865.0,-0.0279999999999999,-0.0279999999999999,-0.0279999999999999,-0.0279999999999999
1866.0,-0.0229999999999999,-0.0229999999999999,-0.0229999999999999,-0.0229999999999999
1867.0,-0.0199999999999999,-0.0199999999999999,-0.0199999999999999,-0.0199999999999999
1868.0,-0.015,-0.015,-0.015,-0.015
1869.0,-0.0079999999999999,-0.0079999999999999,-0.0079999999999999,-0.0079999999999999
1870.0,-0.0009999999999999,-0.0009999999999999,-0.0009999999999999,-0.0009999999999999
1871.0,0.006,0.006,0.006,0.006
1872.0,0.013,0.013,0.013,0.013
1873.0,0.0179999999999999,0.0179999999999999,0.0179999999999999,0.0179999999999999
1874.0,0.0229999999999999,0.0229999999999999,0.0229999999999999,0.0229999999999999
1875.0,0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999
1876.0,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999
1877.0,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999
1878.0,0.0279999999999999,0.0279999999999999,0.0279999999999999,0.0279999999999999
1879.0,0.0299999999999999,0.0299999999999999,0.0299999999999999,0.0299999999999999
1880.0,0.0299999999999999,0.0299999999999999,0.0299999999999999,0.0299999999999999
1881.0,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999
1882.0,0.0349999999999999,0.0349999999999999,0.0349999999999999,0.0349999999999999
1883.0,0.038,0.038,0.038,0.038
1884.0,0.0439999999999999,0.0439999999999999,0.0439999999999999,0.0439999999999999
1885.0,0.0489999999999999,0.0489999999999999,0.0489999999999999,0.0489999999999999
1886.0,0.0559999999999999,0.0559999999999999,0.0559999999999999,0.0559999999999999
1887.0,0.064,0.064,0.064,0.064
1888.0,0.071,0.071,0.071,0.071
1889.0,0.079,0.079,0.079,0.079
1890.0,0.0869999999999999,0.0869999999999999,0.0869999999999999,0.0869999999999999
1891.0,0.0959999999999999,0.0959999999999999,0.0959999999999999,0.0959999999999999
1892.0,0.1029999999999999,0.1029999999999999,0.1029999999999999,0.1029999999999999
1893.0,0.1109999999999999,0.1109999999999999,0.1109999999999999,0.1109999999999999
1894.0,0.118,0.118,0.118,0.118
1895.0,0.122,0.122,0.122,0.122
1896.0,0.125,0.125,0.125,0.125
1897.0,0.128,0.128,0.128,0.128
1898.0,0.129,0.129,0.129,0.129
1899.0,0.129,0.129,0.129,0.129
1900.0,0.13,0.13,0.13,0.13
1901.0,0.132,0.132,0.132,0.132
1902.0,0.1359999999999999,0.1359999999999999,0.1359999999999999,0.1359999999999999
1903.0,0.1419999999999999,0.1419999999999999,0.1419999999999999,0.1419999999999999
1904.0,0.1489999999999999,0.1489999999999999,0.1489999999999999,0.1489999999999999
1905.0,0.1569999999999999,0.1569999999999999,0.1569999999999999,0.1569999999999999
1906.0,0.1659999999999999,0.1659999999999999,0.1659999999999999,0.1659999999999999
1907.0,0.173,0.173,0.173,0.173
1908.0,0.182,0.182,0.182,0.182
1909.0,0.188,0.188,0.188,0.188
1910.0,0.195,0.195,0.195,0.195
1911.0,0.201,0.201,0.201,0.201
1912.0,0.21,0.21,0.21,0.21
1913.0,0.2179999999999999,0.2179999999999999,0.2179999999999999,0.2179999999999999
1914.0,0.2269999999999999,0.2269999999999999,0.2269999999999999,0.2269999999999999
1915.0,0.238,0.238,0.238,0.238
1916.0,0.249,0.249,0.249,0.249
1917.0,0.262,0.262,0.262,0.262
1918.0,0.272,0.272,0.272,0.272
1919.0,0.281,0.281,0.281,0.281
1920.0,0.29,0.29,0.29,0.29
1921.0,0.2939999999999999,0.2939999999999999,0.2939999999999999,0.2939999999999999
1922.0,0.297,0.297,0.297,0.297
1923.0,0.2999999999999999,0.2999999999999999,0.2999999999999999,0.2999999999999999
1924.0,0.302,0.302,0.302,0.302
1925.0,0.3039999999999999,0.3039999999999999,0.3039999999999999,0.3039999999999999
1926.0,0.3069999999999999,0.3069999999999999,0.3069999999999999,0.3069999999999999
1927.0,0.3119999999999999,0.3119999999999999,0.3119999999999999,0.3119999999999999
1928.0,0.3189999999999999,0.3189999999999999,0.3189999999999999,0.3189999999999999
1929.0,0.3249999999999999,0.3249999999999999,0.3249999999999999,0.3249999999999999
1930.0,0.3299999999999999,0.3299999999999999,0.3299999999999999,0.3299999999999999
1931.0,0.3379999999999999,0.3379999999999999,0.3379999999999999,0.3379999999999999
1932.0,0.345,0.345,0.345,0.345
1933.0,0.354,0.354,0.354,0.354
1934.0,0.36,0.36,0.36,0.36
1935.0,0.368,0.368,0.368,0.368
1936.0,0.3759999999999999,0.3759999999999999,0.3759999999999999,0.3759999999999999
1937.0,0.3829999999999999,0.3829999999999999,0.3829999999999999,0.3829999999999999
1938.0,0.392,0.392,0.392,0.392
1939.0,0.399,0.399,0.399,0.399
1940.0,0.405,0.405,0.405,0.405
1941.0,0.409,0.409,0.409,0.409
1942.0,0.41,0.41,0.41,0.41
1943.0,0.408,0.408,0.408,0.408
1944.0,0.406,0.406,0.406,0.406
1945.0,0.404,0.404,0.404,0.404
1946.0,0.402,0.402,0.402,0.402
1947.0,0.399,0.399,0.399,0.399
1948.0,0.398,0.398,0.398,0.398
1949.0,0.3989999999999999,0.3989999999999999,0.3989999999999999,0.3989999999999999
1950.0,0.401,0.401,0.401,0.401
1951.0,0.3929999999999999,0.3929999999999999,0.3929999999999999,0.3929999999999999
1952.0,0.39,0.39,0.39,0.39
1953.0,0.387,0.387,0.387,0.387
1954.0,0.3849999999999999,0.3849999999999999,0.3849999999999999,0.3849999999999999
1955.0,0.386,0.386,0.386,0.386
1956.0,0.3890000000000001,0.3890000000000001,0.3890000000000001,0.3890000000000001
1957.0,0.3920000000000001,0.3920000000000001,0.3920000000000001,0.3920000000000001
1958.0,0.395,0.395,0.395,0.395
1959.0,0.3990000000000001,0.3990000000000001,0.3990000000000001,0.3990000000000001
1960.0,0.402,0.402,0.402,0.402
1961.0,0.403,0.403,0.403,0.403
1962.0,0.4029999999999999,0.4029999999999999,0.4029999999999999,0.4029999999999999
1963.0,0.401,0.401,0.401,0.401
1964.0,0.4,0.4,0.4,0.4
1965.0,0.4049999999999999,0.4049999999999999,0.4049999999999999,0.4049999999999999
1966.0,0.4109999999999999,0.4109999999999999,0.4109999999999999,0.4109999999999999
1967.0,0.422,0.422,0.422,0.422
1968.0,0.434,0.434,0.434,0.434
1969.0,0.4470000000000002,0.4470000000000002,0.4470000000000002,0.4470000000000002
1970.0,0.4619999999999999,0.4619999999999999,0.4619999999999999,0.4619999999999999
1971.0,0.4930000000000001,0.4930000000000001,0.4930000000000001,0.4930000000000001
1972.0,0.5269999999999999,0.5269999999999999,0.5269999999999999,0.5269999999999999
1973.0,0.561,0.561,0.561,0.561
1974.0,0.5950000000000002,0.5950000000000002,0.5950000000000002,0.5950000000000002
1975.0,0.627,0.627,0.627,0.627
1976.0,0.661,0.661,0.661,0.661
1977.0,0.698,0.698,0.698,0.698
1978.0,0.74,0.74,0.74,0.74
1979.0,0.7869999999999999,0.7869999999999999,0.7869999999999999,0.7869999999999999
1980.0,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.8300000000000001
1981.0,0.858,0.858,0.858,0.858
1982.0,0.8860000000000001,0.8860000000000001,0.8860000000000001,0.8860000000000001
1983.0,0.917,0.917,0.917,0.917
1984.0,0.9499999999999996,0.9499999999999996,0.9499999999999996,0.9499999999999996
1985.0,0.979,0.979,0.979,0.979
1986.0,1.0070000000000003,1.0070000000000003,1.0070000000000003,1.0070000000000003
1987.0,1.041,1.041,1.041,1.041
1988.0,1.0790000000000002,1.0790000000000002,1.0790000000000002,1.0790000000000002
1989.0,1.1129999999999998,1.1129999999999998,1.1129999999999998,1.1129999999999998
1990.0,1.14,1.14,1.14,1.14
1991.0,1.169,1.169,1.169,1.169
1992.0,1.189,1.189,1.189,1.189
1993.0,1.2060000000000002,1.2060000000000002,1.2060000000000002,1.2060000000000002
1994.0,1.23,1.23,1.23,1.23
1995.0,1.2600000000000002,1.2600000000000002,1.2600000000000002,1.2600000000000002
1996.0,1.284,1.284,1.284,1.284
1997.0,1.3100000000000005,1.3100000000000005,1.3100000000000005,1.3100000000000005
1998.0,1.3430000000000002,1.3430000000000002,1.3430000000000002,1.3430000000000002
1999.0,1.376,1.376,1.376,1.376
2000.0,1.396,1.396,1.396,1.396
2001.0,1.434090909090909,1.4313636363636362,1.4349999999999998,1.4291363636363634
2002.0,1.4810909090909088,1.4756363636363634,1.4819999999999998,1.4721818181818178
2003.0,1.528,1.519818181818182,1.528,1.5161363636363636
2004.0,1.5748181818181817,1.5639090909090907,1.5729999999999995,1.5609999999999995
2005.0,1.6199999999999997,1.606363636363636,1.6154545454545453,1.6052272727272725
2006.0,1.666,1.6496363636363638,1.657818181818182,1.6512727272727274
2007.0,1.7106363636363635,1.691545454545455,1.697909090909091,1.6969545454545456
2008.0,1.7554545454545454,1.7336363636363634,1.737272727272727,1.7438181818181815
2009.0,1.8010454545454544,1.7765,1.7765,1.7924545454545453
2010.0,1.8467272727272723,1.8194545454545448,1.8149090909090904,1.842181818181818
2011.0,1.8935,1.8635,1.8535,1.894
2012.0,1.9401818181818185,1.9074545454545455,1.8910909090909087,1.9467272727272729
2013.0,1.986772727272728,1.951318181818182,1.9276818181818185,2.000363636363637
2014.0,2.033272727272728,1.9950909090909092,1.963272727272728,2.054909090909092
2015.0,2.079681818181818,2.038772727272728,1.997863636363637,2.110363636363637
2016.0,2.1260000000000003,2.082363636363637,2.031454545454546,2.166727272727273
